Client ID,Name,Age,Occupation,Nationality,GenderId,Properties Owned,Fee StructureId,Loyalty ClassificationId
IND81288,Raymond Mills,24,Safety Technician IV,American,1,1,1,1
IND65833,Julia Spencer,23,Software Consultant,African,1,1,1,1
IND47499,Stephen Murray,27,Help Desk Operator,European,2,1,1,3
IND72498,Virginia Garza,40,Geologist II,American,1,0,2,4
IND60181,Melissa Sanders,46,Assistant Professor,American,2,0,2,2
IND78532,Samuel Hudson,23,Help Desk Technician,American,1,1,1,4
IND95683,Timothy Alexander,46,Account Coordinator,Asian,2,1,1,3
IND40785,Carl Martin,78,Automation Specialist II,European,2,0,2,3
IND13570,Philip Day,67,Software Test Engineer II,Asian,2,0,1,4
IND53299,Jason Sims,51,Geologist III,European,1,2,2,4
IND76263,Amy Martinez,55,Administrative Officer,European,1,3,1,1
IND56452,David Johnston,73,Database Administrator II,American,2,0,2,1
IND28766,Wayne Foster,45,Staff Scientist,African,2,3,3,4
IND17897,Carlos Moore,44,Programmer I,American,2,0,1,1
IND86325,Lisa Johnston,36,Software Test Engineer I,Asian,1,1,1,2
IND74197,Andrew Mills,55,Actuary,European,1,3,2,4
IND28503,Jack Coleman,61,Staff Accountant II,Asian,2,1,1,4
IND56539,Aaron Day,56,Assistant Media Planner,Asian,2,3,3,1
IND53604,Kevin Weaver,43,Staff Accountant I,American,2,3,3,1
IND32064,Mary Fox,63,Compensation Analyst,Australian,2,2,2,1
IND72934,Carlos Little,41,Geologist I,American,1,2,3,1
IND16101,Roger Boyd,58,Web Designer II,European,2,3,1,1
IND93121,Aaron Marshall,26,Media Manager IV,American,2,0,2,1
IND93310,Cheryl Stewart,21,Accounting Assistant II,European,1,1,1,3
IND71301,Anne Nguyen,41,Programmer II,American,2,0,1,1
IND21279,Christopher Evans,36,Administrative Assistant IV,European,2,3,1,1
IND98618,Maria Clark,34,Help Desk Operator,Asian,1,0,1,4
IND35589,Jimmy Simpson,52,Geological Engineer,European,2,1,1,1
IND40198,Louise Sanders,78,Junior Executive,European,2,0,3,1
IND49616,Angela Alvarez,34,Biostatistician IV,Australian,1,0,3,1
IND55475,Henry Grant,75,Software Test Engineer I,European,1,3,3,1
IND61272,Larry Foster,47,Internal Auditor,European,2,0,1,3
IND33884,Carol GoPKRalez,34,Chemical Engineer,European,1,1,1,2
IND53121,Timothy Stanley,79,Accountant III,American,2,3,1,1
IND25680,Billy Wilson,73,Registered Nurse,European,2,3,1,2
IND55454,Kathleen Riley,80,Cost Accountant,European,1,2,3,1
IND96454,Bobby Jenkins,73,Developer IV,European,2,2,3,3
IND14292,Arthur Burns,51,Accounting Assistant II,Asian,1,2,3,2
IND67206,Lawrence Richardson,49,Junior Executive,European,2,2,2,3
IND90177,Julia Roberts,81,Software Engineer I,European,2,0,2,2
IND60970,Philip Fisher,27,Accountant I,Asian,1,3,1,3
IND24003,Jeffrey Taylor,56,Automation Specialist IV,European,2,1,2,4
IND87800,Mark Mccoy,33,Biostatistician I,European,1,1,1,4
IND75987,Timothy Cook,79,Nurse,European,2,0,3,1
IND70083,Larry Green,56,Human Resources Manager,European,1,2,2,1
IND31444,Edward Gordon,55,Analyst Programmer,European,1,0,2,3
IND70450,Edward Evans,77,Database Administrator III,Australian,2,1,1,3
IND47520,Joseph Morrison,49,Web Designer III,Australian,2,2,2,4
IND69076,Kathy Wheeler,67,Senior Editor,European,2,2,1,1
IND53190,Amy Sims,66,Health Coach III,European,1,0,3,3
IND58356,Sharon Warren,64,Web Developer I,African,1,0,2,4
IND33691,Nicholas Gilbert,49,Systems Administrator III,African,1,2,1,4
IND20398,Melissa Miller,65,Biostatistician III,Australian,1,1,1,1
IND54314,Kevin Gomez,32,Project Manager,European,2,2,2,1
IND74305,Ronald Larson,29,Software Engineer III,Australian,1,3,1,3
IND37195,Christine Williams,31,Engineer III,European,2,0,1,1
IND52609,Angela Roberts,22,Health Coach I,European,1,3,1,1
IND26283,Joshua Hughes,58,Human Resources Assistant I,European,2,3,1,1
IND61913,Joshua Stephens,75,Software Test Engineer II,American,1,1,1,4
IND35876,Evelyn Ramirez,18,Web Designer II,American,1,0,2,1
IND19011,Lillian Burns,47,Sales Associate,European,2,2,2,4
IND86703,Lillian Bell,41,Biostatistician I,European,2,2,1,2
IND23640,Phillip Perez,36,Accounting Assistant III,European,2,0,3,1
IND93407,Karen Morrison,84,Dental Hygienist,European,2,3,1,1
IND40136,John Cruz,26,Developer IV,European,1,0,2,4
IND76215,Joseph Thomas,74,Engineer IV,American,2,1,3,2
IND93216,Anthony Green,47,Software Consultant,Asian,1,2,1,1
IND54572,Terry Hanson,82,Software Test Engineer II,European,2,0,1,3
IND18649,Norma Perez,25,Accountant II,European,1,0,2,2
IND51790,Ann Bradley,44,Software Engineer II,European,1,2,2,1
IND17740,Daniel Morrison,38,Health Coach IV,Asian,2,1,1,3
IND49489,Keith Weaver,74,Associate Professor,American,1,3,1,3
IND50658,Patrick Richardson,35,Computer Systems Analyst I,Asian,2,0,2,1
IND14798,Beverly Griffin,74,Health Coach I,American,1,0,1,4
IND60926,Virginia Greene,62,Electrical Engineer,American,1,1,2,1
IND57710,Antonio Ruiz,23,Statistician I,European,1,1,3,1
IND71795,John Chapman,68,Programmer Analyst III,European,1,2,2,2
IND98220,Ruth Bishop,79,Human Resources Assistant II,American,1,1,1,1
IND91662,Alice Chavez,29,Assistant Professor,European,2,3,1,4
IND18901,Heather Palmer,52,Accounting Assistant III,European,1,1,2,4
IND49888,Louis Banks,68,Administrative Assistant I,American,2,3,2,1
IND76081,Bobby Gordon,41,Geologist IV,Australian,1,0,2,3
IND93705,Randy Gardner,70,Help Desk Operator,American,1,3,2,3
IND52847,Eric Burke,32,Assistant Media Planner,Asian,2,3,1,1
IND24592,Martin Shaw,47,Technical Writer,American,1,0,2,1
IND31656,Phillip Hansen,83,Human Resources Assistant I,Asian,1,1,2,4
IND85060,Randy Wheeler,24,Software Consultant,European,1,3,1,2
IND89139,Matthew Brown,84,Administrative Assistant IV,European,2,3,3,3
IND81423,Dennis Hanson,29,Recruiter,American,1,1,1,1
IND85541,Alan Bennett,85,Staff Scientist,African,1,2,1,1
IND59219,Helen Jenkins,51,Web Developer III,European,1,3,1,1
IND43444,Katherine Myers,59,Senior Developer,European,2,2,1,1
IND85299,Scott Hughes,84,Health Coach IV,American,1,0,1,4
IND58136,Barbara Larson,69,Office Assistant II,American,2,1,2,1
IND35725,Tammy Willis,17,Operator,European,2,3,1,1
IND15648,Aaron Williams,78,Software Engineer III,Australian,2,2,1,2
IND48116,Lawrence Gibson,25,Dental Hygienist,African,2,3,1,1
IND28531,Ronald Burns,61,Web Designer I,Australian,2,3,2,3
IND45135,Benjamin Boyd,61,Editor,American,1,2,3,4
IND72586,Craig Wagner,48,Analog Circuit Design manager,Asian,1,3,1,1
IND80929,Mary Austin,35,VP Marketing,European,1,2,1,4
IND40714,Steven Wilson,21,Senior Editor,European,1,0,3,4
IND48405,Joe Lawrence,23,Civil Engineer,European,2,2,1,3
IND52634,Willie Price,24,Media Manager I,European,2,1,2,1
IND18163,Kevin Perez,50,Nurse,European,2,2,2,3
IND94008,Ruth Cook,20,Accountant III,American,2,2,2,1
IND53034,Bruce Vasquez,49,Senior Quality Engineer,European,1,2,1,3
IND91806,Joe Lawrence,42,Engineer IV,American,2,2,2,3
IND25702,Christopher Cox,76,Administrative Assistant IV,American,1,1,2,4
IND67912,Russell Lawson,66,Internal Auditor,European,2,2,2,4
IND76171,Jacqueline Williamson,42,Software Test Engineer III,European,2,2,2,4
IND34798,Craig Myers,29,VP Accounting,European,1,2,1,1
IND93920,Paul Riley,22,Statistician I,European,2,3,2,1
IND18628,Patrick Ruiz,36,Accountant II,Asian,2,3,1,2
IND42134,Ann Henderson,35,Biostatistician III,American,2,2,3,4
IND92265,George Nguyen,84,Information Systems Manager,Asian,2,1,2,1
IND77317,Michael Perkins,48,Programmer Analyst II,European,2,2,2,2
IND60176,Eugene Ryan,25,Accounting Assistant IV,Asian,1,3,2,1
IND51597,Janet Gordon,20,Programmer Analyst IV,European,1,1,3,2
IND33238,Ruby Oliver,79,Health Coach IV,European,2,0,3,1
IND18364,Peter Riley,24,Computer Systems Analyst IV,European,1,2,2,3
IND92467,Philip Hanson,32,Speech Pathologist,Asian,2,3,2,4
IND60476,Carolyn Ross,76,Statistician IV,European,2,3,3,4
IND61025,Pamela Bailey,40,Paralegal,Asian,1,0,2,3
IND55955,Shirley Chavez,43,Editor,American,2,0,2,4
IND75964,Daniel Harris,71,Programmer Analyst IV,European,2,3,1,4
IND17939,Ryan Gray,29,Civil Engineer,Asian,1,1,1,1
IND49363,Phillip Morales,66,Administrative Officer,European,1,3,1,4
IND93355,Henry Wood,61,Health Coach III,European,2,1,2,1
IND65845,Norma Austin,24,Administrative Officer,African,2,0,1,4
IND26284,Kathryn Johnson,23,Systems Administrator IV,Asian,2,0,2,3
IND24774,Dennis Berry,48,Budget/Accounting Analyst I,Asian,2,1,1,1
IND12731,Rachel Adams,26,Senior Financial Analyst,Asian,2,0,1,1
IND93115,Adam Robertson,70,Software Test Engineer II,European,2,3,3,3
IND85411,Jack Morrison,85,Product Engineer,Asian,1,2,1,1
IND58620,Raymond Collins,37,Staff Scientist,Asian,2,2,2,2
IND86466,John Hart,31,Systems Administrator IV,African,2,0,1,1
IND67594,Christina Alvarez,85,Data Coordiator,European,2,0,3,1
IND34060,Rebecca Perkins,37,Assistant Professor,European,2,2,1,3
IND93556,Jonathan Hanson,71,Dental Hygienist,Asian,2,0,1,4
IND98512,Christine Graham,72,Account Representative I,European,1,0,1,3
IND52571,Katherine Young,35,Health Coach II,African,1,3,1,3
IND37643,Jeremy Freeman,56,Help Desk Operator,Australian,1,3,1,1
IND54218,Joseph Butler,19,Administrative Assistant II,Australian,1,3,2,1
IND61793,Brian Smith,26,Staff Accountant III,European,2,2,2,1
IND36608,Kimberly Schmidt,34,Account Representative I,European,1,2,1,4
IND48488,Carol Warren,75,Mechanical Systems Engineer,Asian,2,1,1,1
IND67225,Jean Austin,68,Registered Nurse,European,2,1,3,4
IND82919,John Simpson,62,Staff Accountant III,Asian,2,2,2,1
IND77016,Heather Phillips,83,Automation Specialist III,Australian,2,0,1,1
IND75034,Doris James,30,VP Product Management,American,2,1,1,1
IND90860,Anna Welch,51,Business Systems Development Analyst,European,1,1,1,3
IND73867,Jack Harris,32,Accountant II,European,2,1,3,1
IND27930,Joshua Porter,22,Teacher,African,1,2,1,4
IND35620,Anna Duncan,58,Marketing Assistant,Asian,2,2,1,3
IND91353,Mark Garza,31,Human Resources Assistant I,American,1,1,1,2
IND97689,Paula Ray,57,Structural Engineer,European,2,0,1,1
IND77331,Rebecca Murray,64,Programmer Analyst IV,Asian,1,0,2,1
IND71401,Michelle Rose,82,Research Associate,European,1,2,1,4
IND66104,George Thomas,84,Quality Control Specialist,European,1,0,3,2
IND36471,Carlos Martin,24,Environmental Specialist,European,1,2,2,1
IND81572,Christopher West,19,Automation Specialist II,American,2,2,1,1
IND94055,Joan Bishop,48,Administrative Assistant IV,Asian,1,0,1,3
IND88778,Albert Bryant,17,Structural Analysis Engineer,European,1,1,1,1
IND68221,Paula Perkins,61,Programmer I,Asian,2,1,2,1
IND58681,Andrew Williams,73,Software Test Engineer II,European,2,2,2,4
IND54970,Amy Ryan,28,Structural Analysis Engineer,European,1,3,1,3
IND26450,Albert Cruz,81,Statistician I,Asian,2,1,1,1
IND28733,Chris Larson,74,Speech Pathologist,European,2,2,1,1
IND91334,Sean Myers,49,Pharmacist,European,2,2,3,1
IND61397,Carol Duncan,74,Developer I,European,1,1,1,3
IND65691,George Price,43,Paralegal,Australian,2,2,2,1
IND19666,John Daniels,50,Web Developer II,European,1,2,2,1
IND76794,Carolyn Tucker,74,Payment Adjustment Coordinator,European,1,1,1,3
IND77195,Bruce Banks,83,Information Systems Manager,American,2,3,1,2
IND36167,Norma Sanchez,57,Account Coordinator,American,1,3,1,1
IND76489,Tina Franklin,40,Account Executive,European,1,3,1,4
IND23438,Lillian Ellis,21,Software Test Engineer IV,European,2,2,1,4
IND82705,Andrew Long,27,Social Worker,European,1,0,3,1
